	Data  | Horas trabalhadas | Tipo tarefa 		| Descrição da tarefa realizada.
07/06   00:07:00	    Projetar	  	  	  Estrutura inicial do módulo de produtos.
07/06   01:38:52	    Codificar módulo	  	  Codificação de funções do módulo de produtos.
07/06   00:20:07	    Redigir casos de teste	  Testes de funções do módulo de produtos.
07/06   00:18:43	    Realizar os testes	  	  Realização dos primeiros testes.
08/06   00:06:18	    Estudar e pesquisar	  	  Pesquisa de alguns conceitos de C.
08/06   00:10:53	    Codificar módulo	  	  Codificação de ajustes nas funções do módulo de produtos para passar nos testes.
08/06   00:20:07	    Redigir casos de teste	  Mais testes para funções do módulo de produtos.
08/06   00:10:46	    Realizar os testes	  	  Realização de mais alguns testes.
09/06   00:02:23	    Estudar e pesquisar	  	  Pesquisa de mais alguns conceitos de C.
09/06   00:44:01	    Codificar módulo	  	  Codificação de funções do módulo de busca de produtos.
09/06   00:16:16	    Redigir casos de teste	  Testes para as novas funções criadas.
09/06   00:10:18	    Realizar os testes	  	  Realização dos testes escritos.
11/06   00:02:20	    Estudar e pesquisar	  	  Pesquisa de mais alguns conceitos de C.
11/06   00:14:16	    Documentação com doxygen	  Comentários referentes ao doxygen no módulo de produtos.
11/06   00:11:25	    Redigir casos de teste	  Testes adicionais para cobrir brechas no código.
11/06   00:05:33	    Realizar os testes	  	  Realização dos testes escritos.
12/06   00:01:18	    Codificar módulo	  	  Reparos no código.
12/06   00:01:47	    Documentação com doxygen	  Comentários referentes ao doxygen no módulo de produtos.
12/06   00:13:19	    Redigir casos de teste	  Testes adicionais para o módulo de produtos.
12/06   00:26:14	    Realizar os testes	  	  Realização dos testes adicionais.
13/06   00:05:36	    Codificar módulo	  	  Reparos no código.
13/06   00:14:19	    Documentação com doxygen	  Comentários referentes ao doxygen no módulo de busca de produtos.
13/06   00:05:02	    Redigir casos de teste	  Testes para cobrir possíveis brechas no código.
13/06   00:07:06	    Realizar os testes	  	  Realização dos testes escritos.
14/06   00:35:52	    Estudar e pesquisar		  Pesquisa sobre listas.
14/06   01:12:28	    Codificar módulo	  	  Últimas funções do módulo de busca de produtos.
16/06   00:05:46	    Estudar e pesquisar		  Testes das primeiras funções do módulo de produtos.
16/06   00:30:47	    Documentação com doxygen 	  Comentários referentes ao doxygen no módulo de busca de produtos.
16/06   01:41:43	    Comentar o código		  Comentários do módulo de produtos
16/06   00:48:57	    Revisar código do módulo 	  Refatoração geral dos módulos de produtos e busca de produtos.
20/06   00:38:52	    Comentar o código		  Comentários do módulo de produtos
21/06   00:01:09	    Redigir casos de teste	  Caso de teste adicional para o tipo de produtos.
21/06   00:03:52	    Realizar os testes	  	  Realização dos testes escritos.
21/06   00:13:45	    Codificar módulo		  Correção de erros revelados pelos testes.
21/06   01:40:47	    Comentar o código	  	  Comentários do módulo de busca de produtos.
22/06   00:41:10	    Comentar o código		  Comentários do módulo de busca de produtos.
24/06   00:33:34	    Instrumentação via gcov	  Uso do gcov nos módulos de produtos e busca por produtos.
24/06   00:42:39	    Comentar o código	  	  Comentários do módulo de busca de produtos.
26/06   00:11:00	    Codificar módulo		  Adição de cabeçalhos que deveriam ser implementados.
26/06   00:13:00	    Projetar		  	  Estrutura inicial do módulo de transações e de busca de transações.
27/06   01:26:24	    Codificar módulo		  Reaproveitamento de funções dos módulos de produtos e busca de produtos para os módulos de transações.
27/06   00:52:58	    Redigir casos de teste  	  Reaproveitamento de funções dos módulos de produtos e busca de produtos para os módulos de transações.
27/06   00:39:09	    Realizar os testes		  Testes das primeiras funções do módulo de produtos.
27/06   00:20:00	    Projetar	  		  Criação do módulo valid_index.
28/06   00:33:51	    Codificar módulo		  Testes das primeiras funções do módulo de produtos.
28/06   00:03:27	    Redigir casos de teste  	  Realização dos primeiros testes.
28/06   00:17:27	    Realizar os testes		  Testes das primeiras funções do módulo de produtos.
29/06   00:28:17	    Estudar e pesquisar		  Busca de conceitos documentação do doxygen para funções e defines.
29/06   00:37:36	    Realizar os testes	  	  Realização de alguns testes para funções específicas do módulo de busca de transações.
29/06   02:55:19	    Codificar módulo		  Codificação de funções específicas para o módulo de transações e de busca de transações.
29/06   01:13:36	    Redigir casos de teste  	  Casos de teste para testar funções específicas para o módulo de busca de transações.
30/06   00:35:35	    Redigir casos de teste	  Casos de teste para testar funções específicas para o módulo de busca de transações.
30/06   00:50:57	    Realizar os testes		  Realização dos últimos testes escritos.
30/06   01:36:08	    Revisar código do módulo	  Refatoração geral dos módulos de transações e busca de transações.
30/06   00:17:58	    Estudar e pesquisar	  	  Busca de conceitos envolvendo arquivos.
30/06   01:53:39	    Comentar o código		  Comentários dos arquivos cabeçalhos dos módulos de transações e busca de transações.
30/06   00:16:36	    Codificar módulo	  	  Adição de código para consertar problemas pequenos.
01/07   00:05:03	    Realizar os testes		  Última realização dos testes para checar se tudo funciona.
01/07   01:09:53	    Comentar o código	 	  Comentários dos arquivos de teste dos módulos de transações e busca de transações.
02/07   00:17:23	    Instrumentação via gcov	  Uso do gcov nos módulos de transações e busca por transações.
02/07   03:54:00	    Comentar o código	  	  Comentários dos arquivos source dos módulos de transações e busca de transações.
